"2101.02602","Kevin Buzzard","Kevin Buzzard, Chris Hughes, Kenny Lau, Amelia Livingston, Ramon
  Fern\'andez Mir, Scott Morrison","Schemes in Lean","10 pages. To appear in Experimental Mathematics",,"10.1080/10586458.2021.1983489",,"math.AG","http://creativecommons.org/licenses/by/4.0/","  We tell the story of how schemes were formalised in three different ways in
the Lean theorem prover.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:00:29 GMT""},{""version"":""v2"",""created"":""Fri, 18 Mar 2022 14:52:05 GMT""}]","2022-03-21"
"2101.02603","Kaloyan Zlatanov Dr","K. N. Zlatanov and N. V. Vitanov","Multilevel Laser Induced Continuum Structure",,,"10.3390/e23070891",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Laser-induced-continuum-structure(LICS) allows for coherent control
techniques to be applied in a Raman type system with intermediate continuum
state. To this end the standard LICS problem treats two bound states coupled to
one or more continua states. In this paper we discuss the simplest non-trivial
multilevel generalization of LICS coupling two bound levels, each composed of
two degenerate states through a common continuum state. We reduce the
complexity of the effective system of bound states by switching to a rotated
basis in which different sub-systems of lower dimension evolve independently.
We derive a trapping condition and explore the dynamics of the sub-systems
under different initial conditions.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:00:40 GMT""},{""version"":""v2"",""created"":""Wed, 3 Feb 2021 09:24:12 GMT""}]","2021-08-04"
"2101.02604","Elie Wandersman","Iaroslava Golovkova, Lorraine Montel, Franck Pan, Elie Wandersman,
  Alexis M. Prevost, Thibault Bertrand and L\'ea-Laetitia Pontani","Adhesion as a trigger of droplet polarization in flowing emulsions","10 pages, 5 figures",,,,"cond-mat.soft","http://creativecommons.org/licenses/by/4.0/","  Tissues are subjected to large external forces and undergo global
deformations during morphogenesis. We use synthetic analogues of tissues to
study the impact of cell-cell adhesion on the response of cohesive cellular
assemblies under such stresses. In particular, we use biomimetic emulsions in
which the droplets are functionalized in order to exhibit specific
droplet-droplet adhesion. We flow these emulsions in microfluidic constrictions
and study their response to this forced deformation via confocal microscopy. We
find that the distributions of avalanche sizes are conserved between repulsive
and adhesive droplets. However, adhesion locally impairs the rupture of
droplet-droplet contacts, which in turn pulls on the rearranging droplets. As a
result, adhesive droplets are a lot more deformed along the axis of elongation
in the constriction. This finding could shed light on the origin of
polarization processes during morphogenesis.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:01:47 GMT""}]","2021-01-08"
"2101.02605","Florence Raynal","Cl\'ement Gouiller, Florence Raynal, Laurent Maquet, Micka\""el
  Bourgoin, C\'ecile Cottin-Bizonne, Romain Volk and Christophe Ybert","Mixing and unmixing induced by active camphor particles","17 pages, 11 figures, to be published in Physical Review Fluids","Phys. Rev. Fluids 6, 014501 (2021)","10.1103/PhysRevFluids.6.014501",,"physics.flu-dyn cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this experimental study, we report on the mixing properties of interfacial
colloidal floaters (glass bubbles) by chemical and hydrodynamical currents
generated by self-propelled camphor disks swimming at the air-water interface.
Despite reaching a statistically stationary state for the glass bubbles
distribution, those floaters always remain only partially mixed. This
intermediate state results from a competition between (i) the mixing induced by
the disordered motion of many camphor swimmers and (ii) the unmixing promoted
by the chemical cloud attached to each individual self-propelled disk.
Mixing/unmixing is characterized globally using the standard deviation of
concentration and spectra, but also more locally by averaging the concentration
field around a swimmer. Besides the demixing process, the system develops a
""turbulent-like"" concentration spectra, with a large-scale region, an inertial
regime and a Batchelor region. We show that unmixing is due to the Marangoni
flow around the camphor swimmers, and is associated to compressible effects.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:07:16 GMT""}]","2021-02-03"
"2101.02606","Diana Qiu","Diana Y. Qiu, Felipe H. da Jornada and Steven G. Louie","Solving the Bethe-Salpeter Equation on a Subspace: Approximations and
  Consequences for Low-dimensional Materials",,,"10.1103/PhysRevB.103.045117",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is well known that the ambient environment can dramatically renormalize
the quasiparticle gap and exciton binding energies in low-dimensional
materials, but the effect of the environment on the energy splitting of the
spin-singlet and spin-triplet exciton states is less understood. A prominent
effect is the renormalization of the exciton binding energy and optical
strength (and hence the optical spectrum) through additional screening of the
direct Coulomb term describing the attractive electron-hole interaction in the
kernel of the Bethe-Salpeter equation (BSE). The repulsive exchange interaction
responsible for the singlet-triplet slitting, on the other hand, is unscreened
within formal many-body perturbation theory. However, Loren Benedict argued
that in practical calculations restricted to a subspace of the full Hilbert
space, the exchange interaction should be appropriately screened by states
outside of the subspace, the so-called $S$ approximation \cite{Benedict2002}.
Here, we systematically explore the accuracy of the $S$ approximation for
different confined systems, including a molecule and heterostructures of
semiconducting and metallic layered materials. We show that the $S$
approximation is actually exact in the limit of small exciton binding energies
(i.e., small direct term) and can be used to significantly accelerate
convergence of the exciton energies with respect to the number of empty states,
provided that a particular effective screening consistent with the conventional
Tamm-Dancoff approximation is employed. We further find that the
singlet-triplet splitting in the energy of the excitons is largely unaffected
by the external dielectric environment for most quasi-two-dimensional
materials.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:13:19 GMT""}]","2021-02-03"
"2101.02607","Sanjib Kumar Agarwalla","Anil Kumar, Amina Khatun, Sanjib Kumar Agarwalla, Amol Dighe","A New Approach to Probe Non-Standard Interactions in Atmospheric
  Neutrino Experiments","30 pages, 11 figures, 4 tables. Published in JHEP. Matches with the
  published version",,"10.1007/JHEP04(2021)159","IP/BBSR/2020-8, TIFR/TH/20-49","hep-ph hep-ex physics.ins-det","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose a new approach to explore the neutral-current non-standard
neutrino interactions (NSI) in atmospheric neutrino experiments using
oscillation dips and valleys in reconstructed muon observables, at a detector
like ICAL that can identify the muon charge. We focus on the flavor-changing
NSI parameter $\varepsilon_{\mu\tau}$, which has the maximum impact on the muon
survival probability in these experiments. We show that non-zero
$\varepsilon_{\mu\tau}$ shifts the oscillation dip locations in $L/E$
distributions of the up/down event ratios of reconstructed $\mu^-$ and $\mu^+$
in opposite directions. We introduce a new variable $\Delta d$ representing the
difference of dip locations in $\mu^-$ and $\mu^+$, which is sensitive to the
magnitude as well as the sign of $\varepsilon_{\mu\tau}$, and is independent of
the value of $\Delta m^2_{32}$. We further note that the oscillation valley in
the ($E$, $\cos \theta$) plane of the reconstructed muon observables bends in
the presence of NSI, its curvature having opposite signs for $\mu^-$ and
$\mu^+$. We demonstrate the identification of NSI with this curvature, which is
feasible for detectors like ICAL having excellent muon energy and direction
resolutions. We illustrate how the measurement of contrast in the curvatures of
valleys in $\mu^-$ and $\mu^+$ can be used to estimate $\varepsilon_{\mu\tau}$.
Using these proposed oscillation dip and valley measurements, the achievable
precision on $|\varepsilon_{\mu\tau}|$ at 90% C.L. is about 2% with 500
kt$\cdot$yr exposure. The effects of statistical fluctuations, systematic
errors, and uncertainties in oscillation parameters have been incorporated
using multiple sets of simulated data. Our method would provide a direct and
robust measurement of $\varepsilon_{\mu\tau}$ in the multi-GeV energy range.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:13:44 GMT""},{""version"":""v2"",""created"":""Wed, 21 Apr 2021 06:50:58 GMT""}]","2021-05-05"
"2101.02608","Philip D. Mannheim","Asanka Amarasinghe, Tianye Liu, Daniel A. Norman and Philip D.
  Mannheim","Exact solution to perturbative conformal cosmology from recombination
  until the current era","23 pages. arXiv admin note: substantial text overlap with
  arXiv:2009.06841","Phys. Rev. D 103, 104022 (2021)","10.1103/PhysRevD.103.104022",,"gr-qc astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In a previous paper (P. D. Mannheim, Phys. Rev. D 102, 123535 (2020)) we
studied cosmological perturbation theory in the cosmology associated with the
fourth-order derivative conformal gravity theory, and provided an exact
solution to the theory in the recombination era. In this paper we present an
exact solution that holds all the way from recombination until the current era.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:16:09 GMT""}]","2021-05-19"
"2101.02609","Louis Falissard","Louis Falissard, Karim Bounebache, Gr\'egoire Rey","Learning a binary search with a recurrent neural network. A novel
  approach to ordinal regression analysis",,,,,"stat.ML cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Deep neural networks are a family of computational models that are naturally
suited to the analysis of hierarchical data such as, for instance, sequential
data with the use of recurrent neural networks. In the other hand, ordinal
regression is a well-known predictive modelling problem used in fields as
diverse as psychometry to deep neural network based voice modelling. Their
specificity lies in the properties of their outcome variable, typically
considered as a categorical variable with natural ordering properties,
typically allowing comparisons between different states (""a little"" is less
than ""somewhat"" which is itself less than ""a lot"", with transitivity allowed).
This article investigates the application of sequence-to-sequence learning
methods provided by the deep learning framework in ordinal regression, by
formulating the ordinal regression problem as a sequential binary search. A
method for visualizing the model's explanatory variables according to the
ordinal target variable is proposed, that bears some similarities to linear
discriminant analysis. The method is compared to traditional ordinal regression
methods on a number of benchmark dataset, and is shown to have comparable or
significantly better predictive power.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:16:43 GMT""}]","2021-01-08"
"2101.02610","Ruxi Shi","Ruxi Shi","On variational principles for metric mean dimension","13 pages",,,,"math.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this note, we show several variational principles for metric mean
dimension. First we prove a variational principles in terms of Shapira's
entropy related to finite open covers. Second we establish a variational
principle in terms of Katok's entropy. Finally using these two variational
principles we develop a variational principle in terms of Brin-Katok local
entropy.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:21:18 GMT""},{""version"":""v2"",""created"":""Fri, 5 Feb 2021 12:53:21 GMT""},{""version"":""v3"",""created"":""Mon, 8 Feb 2021 14:35:59 GMT""}]","2021-02-09"
"2101.02611","Jacopo Schino","Jaros{\l}aw Mederski and Jacopo Schino","Least energy solutions to a cooperative system of Schr\""odinger
  equations with prescribed $L^2$-bounds: at least $L^2$-critical growth","To appear in Calc. Var. Partial Differential Equations",,,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We look for least energy solutions to the cooperative systems of coupled
Schr\""odinger equations
  \begin{equation*}
  \begin{cases}
  -\Delta u_i + \lambda_i u_i = \partial_iG(u)\quad \mathrm{in} \ \mathbb{R}^N,
\ N \geq 3,
  u_i \in H^1(\mathbb{R}^N),
  \int_{\mathbb{R}^N} |u_i|^2 \, dx \leq \rho_i^2
  \end{cases}
  i\in\{1,\dots,K\}
  \end{equation*} with $G\geq 0$, where $\rho_i>0$ is prescribed and
$(\lambda_i, u_i) \in \mathbb{R} \times H^1 (\mathbb{R}^N)$ is to be
determined, $i\in\{1,\dots,K\}$.
  Our approach is based on the minimization of the energy functional over a
linear combination of the Nehari and Poho\v{z}aev constraints intersected with
the product of the closed balls in $L^2(\mathbb{R}^N)$ of radii $\rho_i$, which
allows to provide general growth assumptions about $G$ and to know in advance
the sign of the corresponding Lagrange multipliers. We assume that $G$ has at
least $L^2$-critical growth at $0$ and admits Sobolev critical growth. The more
assumptions we make about $G$, $N$, and $K$, the more can be said about the
minimizers of the corresponding energy functional. In particular, if $K=2$,
$N\in\{3,4\}$, and $G$ satisfies further assumptions, then $u=(u_1,u_2)$ is
normalized, i.e., $\int_{\mathbb{R}^N} |u_i|^2 \, dx=\rho_i^2$ for
$i\in\{1,2\}$.
","[{""version"":""v1"",""created"":""Thu, 7 Jan 2021 16:23:00 GMT""},{""version"":""v2"",""created"":""Tue, 18 May 2021 13:46:40 GMT""},{""version"":""v3"",""created"":""Tue, 28 Sep 2021 12:03:19 GMT""}]","2021-09-29"
