"2106.14267","Georgia Virginia Panopoulou","G. V. Panopoulou, C. Dickinson, A. C. S. Readhead, T. J. Pearson, M.
  W. Peel","Revisiting the distance to radio Loops I and IV using Gaia and
  radio/optical polarization data","Accepted by ApJ, 10 figures, 24 pages",,"10.3847/1538-4357/ac273f",,"astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Galactic synchrotron emission exhibits large-angular-scale features known as
radio spurs and loops. Determining the physical size of these structures is
important for understanding the local interstellar structure and for modeling
the Galactic magnetic field. However, the distance to these structures is
either under debate or entirely unknown. We revisit a classical method of
finding the location of radio spurs by comparing optical polarization angles
with those of synchrotron emission as a function of distance. We consider three
tracers of the magnetic field: stellar polarization, polarized synchrotron
radio emission, and polarized thermal dust emission. We employ archival
measurements of optical starlight polarization and Gaia distances, and
construct a new map of polarized synchrotron emission from WMAP and Planck
data. We confirm that synchrotron, dust emission, and stellar polarization
angles all show a statistically significant alignment at high Galactic
latitude. We obtain distance limits to three regions towards Loop I of
112$\pm$17 pc, 135$\pm$20 pc, and $<105$ pc. Our results strongly suggest that
the polarized synchrotron emission towards the North Polar Spur at $b >
30^\circ$ is local. This is consistent with the conclusions of earlier work
based on stellar polarization and extinction, but in stark contrast with the
Galactic center origin recently revisited on the basis of X-ray data. We also
obtain a distance measurement towards part of Loop IV (180$\pm$15 pc) and find
evidence that its synchrotron emission arises from chance overlap of structures
located at different distances. Future optical polarization surveys will allow
the expansion of this analysis to other radio spurs.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:00:44 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jun 2021 16:46:12 GMT""},{""version"":""v3"",""created"":""Tue, 14 Sep 2021 23:56:36 GMT""}]","2021-12-08"
"2106.14268","Roy Joshua","Jaya Iyer and Roy Joshua","Brauer Groups of Algebraic Stacks and GIT-Quotients",,,,,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we consider the Brauer groups of algebraic stacks and GIT
quotients: the only algebraic stacks we consider in this paper are quotient
stacks [X/G], where X is a smooth scheme of finite type over a field k, and G
is a linear algebraic group over k and acting on X, as well as various moduli
stacks of principal G-bundles on a smooth projective curve X, associated to a
reductive group G. We also consider the Brauer groups of the corresponding
coarse moduli spaces, which most often identify with the corresponding
GIT-quotients. One conclusion that we seem to draw then is that the Brauer
groups (or their $\ell$-primary torsion parts, for a fixed prime $\ell$
different from char(k)) of the corresponding stacks and coarse moduli spaces
depend strongly on the Brauer group of the given scheme X.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:07:06 GMT""}]","2021-06-29"
"2106.14269","Shuo Jiang","Shuo Jiang, Jie Hu, Christopher L. Magee, Jianxi Luo","Deep Learning for Technical Document Classification","16 pages, 8 figures, 9 tables","IEEE Transactions on Engineering Management. Published Online.
  2022","10.1109/TEM.2022.3152216",,"cs.LG cs.CV cs.IR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In large technology companies, the requirements for managing and organizing
technical documents created by engineers and managers have increased
dramatically in recent years, which has led to a higher demand for more
scalable, accurate, and automated document classification. Prior studies have
only focused on processing text for classification, whereas technical documents
often contain multimodal information. To leverage multimodal information for
document classification to improve the model performance, this paper presents a
novel multimodal deep learning architecture, TechDoc, which utilizes three
types of information, including natural language texts and descriptive images
within documents and the associations among the documents. The architecture
synthesizes the convolutional neural network, recurrent neural network, and
graph neural network through an integrated training process. We applied the
architecture to a large multimodal technical document database and trained the
model for classifying documents based on the hierarchical International Patent
Classification system. Our results show that TechDoc presents a greater
classification accuracy than the unimodal methods and other state-of-the-art
benchmarks. The trained model can potentially be scaled to millions of
real-world multimodal technical documents, which is useful for data and
knowledge management in large technology companies and organizations.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:12:47 GMT""},{""version"":""v2"",""created"":""Mon, 4 Oct 2021 04:25:35 GMT""},{""version"":""v3"",""created"":""Tue, 5 Oct 2021 09:38:13 GMT""},{""version"":""v4"",""created"":""Wed, 6 Oct 2021 05:23:59 GMT""},{""version"":""v5"",""created"":""Sat, 19 Feb 2022 12:49:52 GMT""}]","2022-11-04"
"2106.14270","Tomoya Naito","Tomoya Naito","Relativistic correction of the Coulomb interaction in the local density
  approximation for energies and radii in doubly-magic nuclei","19 pages, 2 figures, 4 tables","Prog. Theor. Exp. Phys. 2022, 093D04 (2022)","10.1093/ptep/ptac122","RIKEN-QHP-499, RIKEN-iTHEMS-Report-21","nucl-th","http://creativecommons.org/licenses/by/4.0/","  Effects of the relativistic correction of the Coulomb interaction on
doubly-magic nuclei are discussed with Skyrme Hartree--Fock calculations. The
relativistic correction is treated by using the local density approximation. It
is found that the correction to the total energy is about $ 2.4 \, \mathrm{MeV}
$ for $ {}^{208} \mathrm{Pb} $, while proton and neutron radii do not change
significantly. This difference is larger than the difference of the Coulomb
exchange (Fock) energy calculated with the local density
(Hartree--Fock--Slater) approximation and that with the exact treatment and the
neutron finite-size effect. Effects of the correction are also compared to the
correction due to the vacuum polarization. It is shown that the two
contributions to the total energy are comparable in light nuclei, but the
latter dominates in heavy nuclei, while the contribution of the relativistic
correction to the total energy is non-negligible compared to the target
accuracy of the DFT calculation.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:13:46 GMT""},{""version"":""v2"",""created"":""Tue, 3 May 2022 07:45:52 GMT""},{""version"":""v3"",""created"":""Wed, 14 Sep 2022 08:44:33 GMT""}]","2022-09-28"
"2106.14271","Manish Anand","Manish Anand","Relaxation in Ordered Assembly of Magnetic Nanoparticles","21 Pages, 7 Figures",,,,"cond-mat.mtrl-sci cond-mat.mes-hall","http://creativecommons.org/licenses/by/4.0/","  We study the relaxation characteristics in the two-dimensional ($l^{}_x
\times l^{}_y$) array of magnetic nanoparticles (MNPs) as a function of aspect
ratio $A^{}_r=l^{}_y/l^{}_x$, dipolar interaction strength $h^{}_d$ and
anisotropy axis orientation using computer simulation. The anisotropy axes of
all the MNPs are assumed to have the same direction, $\alpha$ being the
orientational angle. Irrespective of $\alpha$ and $A^{}_r$, the functional form
of the magnetization-decay curve is perfectly exponentially decaying with
$h^{}_d\leq0.2$. There exists a transition in relaxation behaviour at
$h^{}_d\approx0.4$; magnetization relaxes slowly for $\alpha\leq45^\circ$; it
relaxes rapildy with $\alpha>45^\circ$. Interestingly, it decays rapidly for
$h^{}_d>0.6$, irrespective of $\alpha$. It is because the dipolar interaction
promotes antiferromagnetic coupling in such cases. There is a strong effect of
$\alpha$ on the magnetic relaxation in the highly anisotropic system
($A^{}_r\geq25$). Interesting physics unfolds in the case of a huge aspect
ratio $A^{}_r=400$. There is a rapid decay of magnetization with $\alpha$, even
for weakly interacting MNPs. Remarkably, magnetization does not relax even with
a moderate value of $h^{}_d=0.4$ and $\alpha=0^\circ$ because of ferromagnetic
coupling dominance. Surprisingly, there is a complete magnetization reversal
from saturation (+1) to $-1$ state with $\alpha>60^\circ$. The dipolar field
and anisotropy axis tend to get aligned antiparallel to each other in such a
case. The effective N\'eel relaxation time $\tau^{}_N$ depends weakly on
$\alpha$ for small $h^{}_d$ and $A^{}_r\leq25.0$. For large $A^{}_r$, there is
a rapid fall in $\tau^{}_N$ as $\alpha$ is incremented from 0 to $90^\circ$.
These results benefit applications in data and energy storages where such
controlled magnetization alignment and desired structural anisotropy are
desirable.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:16:35 GMT""}]","2021-06-29"
"2106.14272","Zhuoyu Chen","Zhuoyu Chen, Yao Wang, Slavko N. Rebec, Tao Jia, Makoto Hashimoto,
  Donghui Lu, Brian Moritz, Robert G. Moore, Thomas P. Devereaux, Zhi-Xun Shen","Anomalously Strong Near-Neighbor Attraction in Doped 1D Cuprate Chains",,"Science 373, 1235-1239 (2021)","10.1126/science.abf5174",,"cond-mat.str-el cond-mat.supr-con","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In the cuprates, one-dimensional chain compounds provide a unique opportunity
to understand the microscopic physics due to the availability of reliable
theories. However, progress has been limited by the inability to controllably
dope these materials. Here, we report the synthesis and spectroscopic analysis
of the one-dimensional cuprate Ba$_{2-x}$Sr$_x$CuO$_{3+\delta}$ over a wide
range of hole doping. Our angle-resolved photoemission experiments reveal the
doping evolution of the holon and spinon branches. We identify a prominent
folding branch whose intensity fails to match predictions of the simple Hubbard
model. An additional strong near-neighbor attraction, which may arise from
coupling to phonons, quantitatively explains experiments for all accessible
doping levels. Considering structural and quantum chemistry similarities among
cuprates, this attraction will play a similarly crucial role in the high-$T_C$
superconducting counterparts
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:28:05 GMT""}]","2021-09-15"
"2106.14273","Hasan Ali Khattak","Sidra Zafar, Mohsin Nazir, Taimur Bakhshi, Hasan Ali Khattak,
  Sarmadullah Khan, Muhammad Bilal, Kim-Kwang Raymond Choo, Kyung-Sup Kwak7,
  Aneeqa Sabah","A Systematic Review of Bio-Cyber Interface Technologies and Security
  Issues for Internet of Bio-Nano Things","41 pages, 9 tables, 6 figures",,"10.1109/ACCESS.2021.3093442",,"cs.NI cs.CR cs.ET","http://creativecommons.org/licenses/by/4.0/","  Advances in synthetic biology and nanotechnology have contributed to the
design of tools that can be used to control, reuse, modify, and re-engineer
cells' structure, as well as enabling engineers to effectively use biological
cells as programmable substrates to realize Bio-Nano Things (biological
embedded computing devices). Bio-NanoThings are generally tiny, non-intrusive,
and concealable devices that can be used for in-vivo applications such as
intra-body sensing and actuation networks, where the use of artificial devices
can be detrimental. Such (nano-scale) devices can be used in various healthcare
settings such as continuous health monitoring, targeted drug delivery, and
nano-surgeries. These services can also be grouped to form a collaborative
network (i.e., nanonetwork), whose performance can potentially be improved when
connected to higher bandwidth external networks such as the Internet, say via
5G. However, to realize the IoBNT paradigm, it is also important to seamlessly
connect the biological environment with the technological landscape by having a
dynamic interface design to convert biochemical signals from the human body
into an equivalent electromagnetic signal (and vice versa). This,
unfortunately, risks the exposure of internal biological mechanisms to
cyber-based sensing and medical actuation, with potential security and privacy
implications. This paper comprehensively reviews bio-cyber interface for IoBNT
architecture, focusing on bio-cyber interfacing options for IoBNT like
biologically inspired bio-electronic devices, RFID enabled implantable chips,
and electronic tattoos. This study also identifies known and potential security
and privacy vulnerabilities and mitigation strategies for consideration in
future IoBNT designs and implementations.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:37:11 GMT""}]","2021-06-29"
"2106.14274","Zhiqin Chen","Zhiqin Chen, Andrea Tagliasacchi, Hao Zhang","Learning Mesh Representations via Binary Space Partitioning Tree
  Networks","Accepted to TPAMI. This is the extended journal version of BSP-Net
  (arXiv:1911.06971) from CVPR 2020",,"10.1109/TPAMI.2021.3093440",,"cs.CV cs.GR cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Polygonal meshes are ubiquitous, but have only played a relatively minor role
in the deep learning revolution. State-of-the-art neural generative models for
3D shapes learn implicit functions and generate meshes via expensive
iso-surfacing. We overcome these challenges by employing a classical spatial
data structure from computer graphics, Binary Space Partitioning (BSP), to
facilitate 3D learning. The core operation of BSP involves recursive
subdivision of 3D space to obtain convex sets. By exploiting this property, we
devise BSP-Net, a network that learns to represent a 3D shape via convex
decomposition without supervision. The network is trained to reconstruct a
shape using a set of convexes obtained from a BSP-tree built over a set of
planes, where the planes and convexes are both defined by learned network
weights. BSP-Net directly outputs polygonal meshes from the inferred convexes.
The generated meshes are watertight, compact (i.e., low-poly), and well suited
to represent sharp geometry. We show that the reconstruction quality by BSP-Net
is competitive with those from state-of-the-art methods while using much fewer
primitives. We also explore variations to BSP-Net including using a more
generic decoder for reconstruction, more general primitives than planes, as
well as training a generative model with variational auto-encoders. Code is
available at https://github.com/czq142857/BSP-NET-original.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:37:54 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jul 2021 00:24:22 GMT""}]","2021-07-05"
"2106.14275","Shafin Rahman","Townim Chowdhury, Mahira Jalisha, Ali Cheraghian, Shafin Rahman","Learning without Forgetting for 3D Point Cloud Objects","Accepted in International Work-Conference on Artificial and Natural
  Neural Networks, (IWANN) 2021",,,,"cs.CV","http://creativecommons.org/licenses/by/4.0/","  When we fine-tune a well-trained deep learning model for a new set of
classes, the network learns new concepts but gradually forgets the knowledge of
old training. In some real-life applications, we may be interested in learning
new classes without forgetting the capability of previous experience. Such
learning without forgetting problem is often investigated using 2D image
recognition tasks. In this paper, considering the growth of depth camera
technology, we address the same problem for the 3D point cloud object data.
This problem becomes more challenging in the 3D domain than 2D because of the
unavailability of large datasets and powerful pretrained backbone models. We
investigate knowledge distillation techniques on 3D data to reduce catastrophic
forgetting of the previous training. Moreover, we improve the distillation
process by using semantic word vectors of object classes. We observe that
exploring the interrelation of old and new knowledge during training helps to
learn new concepts without forgetting old ones. Experimenting on three 3D point
cloud recognition backbones (PointNet, DGCNN, and PointConv) and synthetic
(ModelNet40, ModelNet10) and real scanned (ScanObjectNN) datasets, we establish
new baseline results on learning without forgetting for 3D data. This research
will instigate many future works in this area.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:39:39 GMT""}]","2021-06-29"
"2106.14276","Nesrine Cherif Mrs","Nesrine Cherif, Wael Jaafar, Halim Yanikomeroglu, Abbas Yongacoglu","Disconnectivity-Aware Energy-Efficient Cargo-UAV Trajectory Planning
  with Minimum Handoffs","This paper was presented in IEEE ICC 2021. It was awarded the ""Best
  Paper Award""",,,,"eess.SY cs.SY","http://creativecommons.org/licenses/by/4.0/","  On-board battery consumption, cellular disconnectivity, and frequent handoff
are key challenges for unmanned aerial vehicle (UAV) based delivery missions,
a.k.a., cargo-UAV. Indeed, with the introduction of UAV technology into cargo
shipping and logistics, designing energy-efficient paths becomes a serious
issue for the next retail industry transformation. Typically, the latter has to
guarantee uninterrupted or slightly interrupted cellular connectivity for the
UAV's command and control through a small number of handoffs. In this paper, we
formulate the trajectory planning as a multi-objective problem aiming to
minimize both the UAV's energy consumption and the handoff rate, constrained by
the UAV battery size and disconnectivity rate. Due to the problem's complexity,
we propose a dynamic programming based solution. Through simulations, we
demonstrate the efficiency of our approach in providing optimized UAV
trajectories. Also, the impact of several parameters, such as the cargo-UAV
altitude, disconnectivity rate, and type of environment, are investigated. The
obtained results allow to draw recommendations and guidelines for cargo-UAV
operations.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:40:24 GMT""}]","2021-06-29"
"2106.14277","Rustem Takhanov","Rustem Takhanov","How many moments does MMD compare?",,,,,"cs.LG stat.ML","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a new way of study of Mercer kernels, by corresponding to a
special kernel $K$ a pseudo-differential operator $p({\mathbf x}, D)$ such that
$\mathcal{F} p({\mathbf x}, D)^\dag p({\mathbf x}, D) \mathcal{F}^{-1}$ acts on
smooth functions in the same way as an integral operator associated with $K$
(where $\mathcal{F}$ is the Fourier transform). We show that kernels defined by
pseudo-differential operators are able to approximate uniformly any continuous
Mercer kernel on a compact set.
  The symbol $p({\mathbf x}, {\mathbf y})$ encapsulates a lot of useful
information about the structure of the Maximum Mean Discrepancy distance
defined by the kernel $K$. We approximate $p({\mathbf x}, {\mathbf y})$ with
the sum of the first $r$ terms of the Singular Value Decomposition of $p$,
denoted by $p_r({\mathbf x}, {\mathbf y})$. If ordered singular values of the
integral operator associated with $p({\mathbf x}, {\mathbf y})$ die down
rapidly, the MMD distance defined by the new symbol $p_r$ differs from the
initial one only slightly. Moreover, the new MMD distance can be interpreted as
an aggregated result of comparing $r$ local moments of two probability
distributions.
  The latter results holds under the condition that right singular vectors of
the integral operator associated with $p$ are uniformly bounded. But even if
this is not satisfied we can still hold that the Hilbert-Schmidt distance
between $p$ and $p_r$ vanishes. Thus, we report an interesting phenomenon: the
MMD distance measures the difference of two probability distributions with
respect to a certain number of local moments, $r^\ast$, and this number
$r^\ast$ depends on the speed with which singular values of $p$ die down.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2021 16:44:17 GMT""}]","2021-06-29"
